,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
85,Arraial do Cabo,0,BR,1596664577,77,-22.97,-42.03,69.8,9.17
86,Severo-Kuril'sk,100,RU,1596664579,88,50.68,156.12,52.36,13.49
87,Shaowu,100,CN,1596664580,89,27.34,117.48,75.42,1.83
88,Rundu,0,NA,1596664581,36,-17.93,19.77,54.66,1.79
89,George Town,20,MY,1596664583,88,5.41,100.34,84.2,2.24
90,Faya,40,SA,1596664584,88,18.39,42.45,68.0,8.05
91,Ambilobe,35,MG,1596664585,82,-13.2,49.05,64.92,3.71
92,Ketchikan,75,US,1596664541,77,55.34,-131.65,62.6,13.87
93,Ribeira Grande,62,PT,1596664588,72,38.52,-28.7,70.45,9.91
94,Saldanha,0,ZA,1596664589,80,-33.01,17.94,41.0,3.36
95,Mandera,49,KE,1596664590,58,3.94,41.87,79.63,15.14
96,Cidreira,0,BR,1596664296,74,-30.18,-50.21,60.75,9.44
97,Ruidoso,1,US,1596664593,30,33.33,-105.67,88.0,11.41
98,Kalawit,85,PH,1596664594,87,8.07,122.52,77.41,5.79
99,Conceição do Coité,26,BR,1596664596,87,-11.56,-39.28,66.38,9.19
100,Albany,1,US,1596664421,41,42.6,-73.97,82.0,9.75
101,Avarua,4,CK,1596664567,94,-21.21,-159.78,77.0,11.41
102,Bayjī,0,IQ,1596664600,28,34.93,43.49,86.63,2.71
103,Berlevåg,75,NO,1596664601,93,70.86,29.09,48.2,4.7
104,San Joaquin,26,VE,1596664603,77,10.26,-67.79,78.82,2.93
105,Piaçabuçu,19,BR,1596664539,83,-10.41,-36.43,73.13,14.05
106,Wana,0,PK,1596664606,38,32.3,69.57,82.94,5.35
107,Shushenskoye,0,RU,1596664608,87,53.33,91.94,53.6,2.24
108,Mahébourg,20,MU,1596664610,64,-20.41,57.7,68.0,9.17
109,Terrace,90,CA,1596664314,87,54.52,-128.6,60.8,9.17
110,Talnakh,29,RU,1596664612,82,69.49,88.4,55.4,6.71
111,Deputatsky,24,RU,1596664613,45,69.3,139.9,61.39,15.86
112,Clyde River,75,CA,1596664615,70,70.47,-68.59,42.8,16.11
113,Great Falls,1,US,1596664404,22,47.5,-111.3,91.0,6.93
114,Tiksi,100,RU,1596664619,66,71.69,128.87,58.62,8.3
115,Qaanaaq,23,GL,1596664620,72,77.48,-69.36,37.53,1.01
116,Lagoa,60,PT,1596664621,73,39.05,-27.98,70.0,11.48
117,Naze,75,JP,1596664622,83,28.37,129.48,84.2,8.05
118,Yangshan,90,CN,1596664624,95,28.76,115.03,72.73,3.42
119,Kavieng,64,PG,1596664625,79,-2.57,150.8,83.44,17.11
120,Dalbandin,2,PK,1596664626,15,28.89,64.41,81.61,4.56
121,Emporia,1,US,1596664628,48,38.4,-96.18,82.4,6.93
122,Korla,79,CN,1596664629,23,41.76,86.15,83.32,13.06
123,Chadan,20,RU,1596664630,83,51.28,91.58,53.44,1.63
124,Mweka,50,CD,1596664632,58,-4.85,21.57,76.21,3.58
125,Leh,15,IN,1596664633,32,34.17,77.58,61.72,5.17
126,Zhangjiakou,47,CN,1596664634,73,40.81,114.88,67.69,2.26
127,Adrar,18,MR,1596664598,23,20.5,-10.07,98.94,12.75
128,Niimi,40,JP,1596664637,94,34.98,133.47,73.99,1.12
129,Dikson,35,RU,1596664638,93,73.51,80.55,46.2,18.34
130,Iskateley,100,RU,1596664639,94,67.68,53.15,60.3,8.32
131,Coulommiers,0,FR,1596664640,45,48.81,3.08,72.0,2.24
132,Iquitos,20,PE,1596664403,49,-3.75,-73.25,91.4,5.82
133,Port Lincoln,100,AU,1596664643,69,-34.73,135.87,49.64,19.33
134,Caraz,0,PE,1596664644,21,-9.05,-77.81,71.71,1.63
135,Norman Wells,75,CA,1596664645,68,65.28,-126.83,64.4,3.36
136,High Rock,40,BS,1596664647,74,26.62,-78.28,87.8,8.05
137,Nuuk,75,GL,1596664649,50,64.18,-51.72,55.4,4.7
138,Los Llanos de Aridane,90,ES,1596664650,83,28.66,-17.92,73.4,13.87
139,Bonthe,0,SL,1596664651,75,7.53,-12.51,74.71,6.62
140,Qui Nhon,100,VN,1596664653,85,13.77,109.23,78.84,3.85
141,Atbasar,0,KZ,1596664655,55,51.8,68.33,66.31,13.49
142,Puerto Ayora,20,EC,1596664417,65,-0.74,-90.35,77.0,26.4
143,Hong Kong,100,HK,1596664392,88,22.29,114.16,80.01,13.0
144,Sambava,20,MG,1596664660,83,-14.27,50.17,66.83,10.69
145,Salair,14,RU,1596664662,79,54.23,85.8,56.89,2.75
146,Bonfim,80,BR,1596664663,76,3.08,-59.95,82.65,2.68
147,Opuwo,0,NA,1596664665,68,-18.06,13.84,51.33,3.15
148,Mae Sai,75,TH,1596664666,100,20.43,99.88,75.99,2.24
149,Zvishavane,0,ZW,1596664667,51,-20.33,30.07,56.16,3.67
150,Saint Paul Harbor,1,US,1596664669,72,57.79,-152.41,62.6,6.93
151,Yanji,100,CN,1596664670,91,42.91,129.51,69.24,1.88
152,Lüderitz,2,NA,1596664671,54,-26.65,15.16,53.6,21.92
153,Tasiilaq,99,GL,1596664672,81,65.61,-37.64,44.6,11.41
154,Chapais,90,CA,1596664674,93,49.78,-74.85,59.0,13.87
155,Porto-Novo,40,BJ,1596664675,83,6.5,2.6,75.2,14.99
156,Vila Velha,75,BR,1596664676,82,-20.33,-40.29,69.01,5.82
157,Gamba,40,GA,1596664678,85,-2.65,10.0,72.05,3.85
158,Tabuk,100,PH,1596664679,85,17.42,121.44,74.79,1.66
159,Bishop Auckland,87,GB,1596664466,74,54.66,-1.68,64.0,1.99
160,Morelia,75,MX,1596664558,50,19.7,-101.18,78.8,5.82
161,Jatibarang,89,ID,1596664443,81,-6.47,108.32,74.89,8.01
162,Hervey Bay,0,AU,1596664684,95,-25.3,152.85,63.0,4.0
163,Hithadhoo,100,MV,1596664685,71,-0.6,73.08,82.42,11.03
164,Guerrero Negro,4,MX,1596664686,54,27.98,-114.06,78.66,15.17
165,Padang,100,ID,1596664688,73,-0.95,100.35,78.17,3.49
166,Laredo,75,US,1596664523,41,27.51,-99.51,96.8,9.17
167,Manta,40,EC,1596664690,65,-0.95,-80.73,80.6,11.41
168,Saint-Philippe,44,RE,1596664691,67,-21.36,55.77,62.6,6.93
169,Gushikawa,1,JP,1596664693,88,26.35,127.87,82.4,3.36
170,Maţāy,0,EG,1596664512,41,28.42,30.78,79.5,10.56
171,Sayyan,99,YE,1596664696,74,15.17,44.32,61.3,6.02
172,Cherskiy,100,RU,1596664697,84,68.75,161.3,45.45,4.74
173,Mogzon,100,RU,1596664698,96,51.74,111.96,54.59,3.87
174,Najrān,40,SA,1596664148,45,17.49,44.13,84.2,11.41
175,Lorengau,100,PG,1596664700,86,-2.02,147.27,80.19,14.74
176,Nizhniy Tsasuchey,9,RU,1596664703,94,50.52,115.13,56.77,5.44
177,Collie,1,AU,1596664704,83,-33.37,116.15,42.01,5.03
178,Makakilo City,75,US,1596664705,48,21.35,-158.09,87.8,9.17
179,Thinadhoo,100,MV,1596664707,78,0.53,72.93,82.02,15.17
180,Hamilton,75,US,1596664708,44,39.18,-84.53,79.0,7.05
181,Palmer,20,US,1596664709,35,42.16,-72.33,86.0,17.22
182,São João da Barra,20,BR,1596664711,68,-21.64,-41.05,71.6,6.93
183,Gizo Government Station,12,SB,1596664712,76,-8.1,156.84,82.63,7.85
184,Shihezi,94,CN,1596664713,33,44.3,86.03,76.82,2.89
185,Brus,40,RS,1596664714,100,43.38,21.03,60.8,3.4
186,Kānkon,100,IN,1596664715,84,15.02,74.02,79.95,22.41
187,Saskylakh,96,RU,1596664717,84,71.92,114.08,61.47,10.33
188,Cuautepec,19,MX,1596664718,69,16.7,-99.0,86.43,5.37
189,Labuhan,100,ID,1596664719,83,-6.88,112.21,76.46,7.16
190,Zavallya,0,UA,1596664721,48,48.21,30.02,68.72,7.9
191,Andenes,0,NO,1596664723,93,69.31,16.12,51.8,3.36
192,Jacmel,20,HT,1596664724,39,18.23,-72.53,95.0,14.99
193,Kazanskoye,6,RU,1596664725,70,55.64,69.23,65.95,1.25
194,Kununurra,100,AU,1596664726,79,-15.77,128.73,69.8,2.24
195,Baarn,41,NL,1596664501,58,52.21,5.29,68.0,4.9
196,Saint George,1,US,1596664666,8,37.1,-113.58,102.0,8.05
197,Fairbanks,1,US,1596664706,72,64.84,-147.72,69.01,1.41
198,Broome,40,US,1596664731,46,42.25,-75.83,78.01,14.99
199,Nome,75,US,1596664733,62,64.5,-165.41,55.4,8.05
200,Waingapu,25,ID,1596664734,79,-9.66,120.26,69.76,5.68
201,Lata,0,PT,1596664735,93,40.16,-8.33,78.01,10.0
202,Mayo,75,US,1596664737,65,38.89,-76.51,86.0,6.93
203,Beisfjord,0,NO,1596664738,87,68.38,17.6,53.6,3.36
204,New Norfolk,42,AU,1596664740,78,-42.78,147.06,44.01,3.0
205,Araouane,38,ML,1596664741,41,18.9,-3.53,94.91,15.77
206,Kidal,30,ML,1596664743,47,18.44,1.41,88.39,5.5
207,Touros,63,BR,1596664600,73,-5.2,-35.46,75.2,6.93
208,Khani,75,GE,1596664746,94,41.96,42.96,69.8,2.24
209,Flin Flon,20,CA,1596664747,32,54.77,-101.86,82.4,10.29
210,Bosaso,81,SO,1596664749,42,11.28,49.18,91.02,18.03
211,Samarai,100,PG,1596664750,87,-10.62,150.67,78.3,12.97
212,Oxbow,55,CA,1596664753,57,49.23,-102.17,80.01,4.0
213,Pathein,100,MM,1596664754,90,16.78,94.73,78.84,7.9
214,Urgut,0,UZ,1596664756,53,39.4,67.24,75.2,2.24
215,Ferrol,40,ES,1596664757,93,43.48,-8.24,66.2,3.36
216,Luanda,20,AO,1596664633,88,-8.84,13.23,71.6,8.05
217,Codrington,81,AU,1596664759,81,-38.27,141.97,47.62,2.66
218,Opatija,40,HR,1596664761,64,45.34,14.31,69.8,13.87
219,Ikot Ekpene,15,NG,1596664762,81,5.18,7.71,73.08,6.85
220,Ponta do Sol,75,PT,1596664691,78,32.67,-17.1,71.6,9.17
221,Vestmannaeyjar,100,IS,1596664765,86,63.44,-20.27,51.55,13.67
222,Bethel,40,US,1596664767,48,41.37,-73.41,84.0,9.17
223,Yanam,100,IN,1596664510,89,16.73,82.22,77.18,6.76
224,Bara,89,NG,1596664769,92,10.37,10.73,73.2,7.18
225,Narsaq,20,GL,1596664770,62,60.92,-46.05,55.4,6.93
226,Lodja,20,CD,1596664772,80,-3.48,23.43,72.43,3.0
227,Kedrovyy,21,RU,1596664773,100,56.17,91.82,50.0,2.35
228,Sioux Lookout,40,CA,1596664774,39,50.1,-91.92,78.8,11.41
229,Hay River,75,CA,1596664775,68,60.82,-115.8,66.2,12.75
230,Zhalantun,97,CN,1596664777,90,48.0,122.72,62.13,3.58
231,Kyra,98,RU,1596664778,87,49.58,111.98,56.79,1.07
232,Oddur,59,SO,1596664780,73,4.12,43.89,72.23,18.1
233,Airai,15,TL,1596664781,100,-8.93,125.41,52.56,0.69
234,Neuquén,1,AR,1596664498,28,-38.95,-68.06,59.0,14.99
235,Oranjemund,0,NA,1596664783,80,-28.55,16.43,52.14,7.29
236,Olinda,40,BR,1596664784,73,-8.01,-34.86,77.0,14.99
237,North Platte,1,US,1596664486,48,41.12,-100.77,87.8,5.82
238,Olafsvik,100,IS,1596664787,89,64.89,-23.71,50.05,11.88
239,Polis,0,CY,1596664788,88,35.04,32.43,77.0,6.93
240,Hasaki,75,JP,1596664789,94,35.73,140.83,77.0,4.7
241,Havre-St-Pierre,90,CA,1596664791,93,50.23,-63.6,62.6,10.29
242,Bathsheba,75,BB,1596664792,69,13.22,-59.52,82.4,17.22
243,Sinnamary,10,GF,1596664793,86,5.38,-52.95,79.47,11.16
244,Taboga,0,IT,1596664794,75,46.27,13.11,68.0,6.58
245,Worland,1,US,1596664796,22,44.02,-107.96,89.6,8.05
246,Calbuco,75,CL,1596664797,87,-41.77,-73.13,46.4,5.82
247,Sandpoint,1,US,1596664798,23,48.28,-116.55,93.0,4.7
248,Esso,24,RU,1596664799,53,55.93,158.7,58.46,6.42
249,Atherton,83,GB,1596664800,78,53.52,-2.49,66.0,1.99
250,Hadejia,35,NG,1596664802,74,12.45,10.04,79.23,14.47
251,Visby,91,SE,1596664803,77,57.64,18.3,64.0,12.75
252,Barreirinhas,0,BR,1596664805,69,-2.75,-42.83,77.45,7.72
253,Yambio,96,SS,1596664806,96,4.57,28.4,67.03,1.77
254,Honningsvåg,90,NO,1596664808,93,70.98,25.97,48.2,5.82
255,Lavumisa,14,SZ,1596664809,91,-27.31,31.89,58.12,2.08
256,Katsuura,3,JP,1596664810,88,35.13,140.3,80.01,7.25
257,Kahului,40,US,1596664812,46,20.89,-156.47,89.6,23.04
258,Yangi Marg`ilon,0,UZ,1596664813,44,40.43,71.72,77.0,4.7
259,Kynashiv,0,UA,1596664814,81,48.67,28.9,62.01,5.97
260,Victoria Point,0,AU,1596664815,81,-27.58,153.3,55.99,6.22
261,Khatanga,50,RU,1596664816,80,71.97,102.5,56.66,9.51
262,Raudeberg,75,NO,1596664818,100,61.99,5.14,60.01,10.29
263,Homer,1,US,1596664712,63,59.64,-151.55,66.0,9.17
264,Kapit,99,MY,1596664820,94,2.02,112.93,72.73,1.39
265,Husavik,75,IS,1596664822,87,66.04,-17.34,55.4,3.36
266,North Vernon,1,US,1596664824,53,39.01,-85.62,75.2,4.7
267,Mumbai,75,IN,1596664570,94,19.01,72.85,80.6,14.99
268,Longyearbyen,75,SJ,1596664826,76,78.22,15.64,53.6,4.7
269,Sukabumi,92,ID,1596664828,92,-6.92,106.93,72.0,1.21
270,Nouadhibou,20,MR,1596664830,83,20.93,-17.03,71.6,14.99
271,Dakar,40,SN,1596664813,74,14.69,-17.44,84.2,13.87
272,Chui,0,UY,1596664832,81,-33.7,-53.46,64.78,8.95
273,Paamiut,100,GL,1596664834,83,61.99,-49.67,44.42,14.83
274,Poço Verde,16,BR,1596664835,91,-10.71,-38.18,65.41,6.96
275,Te Anau,100,NZ,1596664836,89,-45.42,167.72,46.11,1.5
276,Bijie,46,CN,1596664837,95,27.31,105.29,64.33,5.1
277,Terme,0,TR,1596664839,77,41.21,36.97,66.2,2.24
278,Tessalit,36,ML,1596664840,49,20.2,1.01,87.75,16.82
279,Myitkyina,12,MM,1596664841,95,25.38,97.4,76.26,0.45
280,Sibu,20,MY,1596664842,94,2.3,111.82,75.2,4.7
281,Guamúchil,0,MX,1596664843,58,25.47,-108.1,99.0,13.0
282,Tuatapere,100,NZ,1596664845,96,-46.13,167.68,42.01,1.01
283,Leningradskiy,99,RU,1596664846,82,69.38,178.42,37.87,13.89
284,Mersing,100,MY,1596664847,89,2.43,103.84,78.26,4.81
285,Jiaocheng,92,CN,1596664848,91,24.68,116.14,73.99,1.88
286,Klaksvík,40,FO,1596664849,100,62.23,-6.59,51.8,11.41
287,College,40,US,1596664851,72,64.86,-147.8,69.01,1.63
288,Andradina,0,BR,1596664852,29,-20.9,-51.38,72.14,6.38
289,Tura,94,IN,1596664853,97,25.52,90.22,75.11,6.33
290,Verkhnyaya Toyma,100,RU,1596664854,81,62.23,45.0,64.27,7.07
291,Port Blair,100,IN,1596664856,82,11.67,92.75,81.66,17.0
292,Alekseyevsk,9,RU,1596664857,78,57.84,108.35,59.27,3.98
293,Vanimo,99,PG,1596664858,83,-2.67,141.3,79.07,7.14
294,Valparaíso,40,CL,1596664859,76,-33.04,-71.63,62.6,18.34
295,Maple Creek,0,CA,1596664861,20,49.92,-109.48,86.16,5.57
296,Verkhnyaya Inta,98,RU,1596664862,76,65.98,60.31,61.16,9.24
297,Ovalle,100,CL,1596664863,54,-30.6,-71.2,67.66,4.83
298,Mahanoro,28,MG,1596664864,85,-19.9,48.8,65.98,4.18
299,Mitú,89,CO,1596664866,94,1.2,-70.17,77.16,1.28
300,Imbituba,0,BR,1596664868,77,-28.24,-48.67,68.0,14.99
301,Dingle,100,PH,1596664869,91,11.0,122.67,76.71,4.23
302,Mar del Plata,90,AR,1596664751,77,-38.0,-57.56,62.6,8.05
303,Itaituba,2,BR,1596664631,42,-4.28,-55.98,85.57,1.16
304,Kāzerūn,0,IR,1596664874,26,29.62,51.65,84.13,0.81
305,Nong Phai,100,TH,1596664876,97,15.99,101.06,74.91,3.24
306,Immokalee,1,US,1596664877,88,26.42,-81.42,91.4,4.29
307,Ambon City,40,ID,1596664879,94,-3.7,128.18,77.0,4.7
308,Sistranda,75,NO,1596664881,100,63.73,8.83,57.2,6.93
309,Iqaluit,75,CA,1596664812,67,63.75,-68.51,62.6,20.8
310,Stonewall,40,CA,1596664884,42,50.13,-97.33,84.2,14.99
311,Jalu,0,LY,1596664885,20,29.03,21.55,90.12,8.93
312,Kiryat Gat,0,IL,1596664886,54,31.61,34.76,77.0,3.65
313,High Level,20,CA,1596664887,44,58.52,-117.14,77.0,4.7
314,Puerto Palomas,20,MX,1596664889,12,31.77,-107.62,100.4,5.82
315,Kaeo,100,NZ,1596664890,3,-35.1,173.78,55.0,5.99
316,Rio Grande,0,BR,1596664810,80,-32.03,-52.1,68.0,9.31
317,Marshall,37,US,1596664892,15,34.38,-86.33,86.0,3.0
318,Arrondissement d'Ajaccio,0,FR,1596664893,68,42.0,8.92,71.6,5.82
319,Lota,75,CL,1596664895,71,-37.08,-73.17,53.6,11.41
320,Gangānagar,48,IN,1596664896,56,29.92,73.88,92.59,9.44
321,São Félix do Xingu,1,BR,1596664897,41,-6.64,-51.99,80.1,2.71
322,Nipawin,1,CA,1596664899,39,53.37,-104.0,80.6,8.05
323,Menziken,0,CH,1596664901,87,47.25,8.18,59.0,1.52
324,Alice Springs,90,AU,1596664902,100,-23.7,133.88,50.0,5.82
325,Aksu,92,CN,1596664903,27,41.12,80.26,79.75,9.04
326,Bigaa,99,PH,1596664904,86,13.2,123.76,79.38,4.16
327,Liberal,1,US,1596664906,54,37.04,-100.92,82.4,3.36
328,Port Elizabeth,90,ZA,1596664907,93,-33.92,25.57,53.6,8.05
329,Esna,0,EG,1596664908,20,25.29,32.55,90.7,3.98
330,Lompoc,9,US,1596664695,60,34.64,-120.46,69.8,20.8
331,Vallenar,0,CL,1596664911,29,-28.57,-70.76,76.44,7.2
332,Pimentel,43,PE,1596664912,78,-6.84,-79.93,62.83,17.11
333,Tuy Hoa,100,VN,1596664665,86,13.08,109.3,77.67,5.03
334,Zapolyarnyy,75,RU,1596664914,93,69.42,30.81,50.0,10.29
335,Yenagoa,48,NG,1596664916,80,4.92,6.26,74.12,5.14
336,Marzuq,100,YE,1596664917,50,14.4,46.47,83.05,6.15
337,Geraldton,0,AU,1596664773,87,-28.77,114.6,50.0,10.29
338,Fortuna,99,US,1596664920,96,40.6,-124.16,61.0,5.01
339,Aklavik,90,CA,1596664921,87,68.22,-135.01,51.8,6.93
340,Chicama,1,PE,1596664922,63,-7.84,-79.15,67.15,9.8
341,Parfino,59,RU,1596664923,83,57.97,31.65,55.13,3.29
342,Aleksandro-Nevskiy,100,RU,1596664924,78,53.48,40.21,62.29,5.59
343,Marapanim,0,BR,1596664926,82,-0.72,-47.7,77.65,5.44
344,Kabare,5,CD,1596664927,67,-2.47,28.82,61.03,1.01
345,Artyom,6,AZ,1596664928,72,40.47,50.33,68.0,2.24
346,Mehamn,90,NO,1596664929,93,71.04,27.85,48.2,5.82
347,Skara,100,SE,1596664930,93,58.39,13.44,60.8,11.41
348,Flinders,0,AU,1596664932,61,-34.58,150.86,46.99,3.0
349,Yokadouma,96,CM,1596664933,91,3.52,15.05,68.52,2.15
350,Banjar,20,ID,1596664934,100,-8.19,114.97,75.2,5.82
351,Asău,0,RO,1596664935,92,46.43,26.4,57.0,3.74
352,Hambantota,75,LK,1596664937,100,6.12,81.12,77.0,3.36
353,Leshukonskoye,100,RU,1596664938,95,64.9,45.76,61.27,12.24
354,Kruisfontein,43,ZA,1596664939,95,-34.0,24.73,51.01,8.12
355,Mareeba,45,AU,1596664811,93,-17.0,145.43,64.0,1.01
356,San Policarpo,100,PH,1596664941,83,12.18,125.51,82.08,8.55
357,Umm Kaddadah,100,SD,1596664943,73,13.6,26.69,76.05,6.8
358,Namatanai,79,PG,1596664944,75,-3.67,152.43,82.53,10.51
359,Celestún,20,MX,1596664945,69,20.87,-90.4,86.16,16.24
360,Mtwara,20,TZ,1596664946,88,-10.27,40.18,69.8,11.41
361,Benemérito de las Américas,100,MX,1596664948,47,16.52,-90.64,93.22,5.01
362,Uvat,15,RU,1596664949,92,59.14,68.9,59.36,5.59
363,Syracuse,40,IT,1596664672,53,37.09,15.28,77.0,12.75
364,Middlebury (village),40,US,1596664951,39,44.02,-73.17,79.0,6.93
365,Wanning,100,CN,1596664952,88,18.8,110.4,81.91,10.76
366,Kitui,38,KE,1596664954,92,-1.37,38.01,62.2,8.79
367,Vardø,75,NO,1596664955,87,70.37,31.11,50.0,4.7
368,Klyuchi,0,RU,1596664957,75,52.27,79.17,61.57,8.55
369,Mangulile,100,HN,1596664958,93,15.07,-86.8,73.33,3.06
370,Ostrovnoy,100,RU,1596664959,89,68.05,39.51,56.03,10.71
371,Ginda,91,IN,1596664961,70,30.69,78.49,69.3,3.22
372,Udachny,0,RU,1596664962,42,66.42,112.4,62.6,6.71
373,Maryville,75,US,1596664686,54,35.76,-83.97,88.0,6.93
374,Sebastian,1,US,1596664964,54,35.17,-94.27,84.2,9.17
375,Indian Head,1,US,1596664965,51,38.6,-77.16,87.01,5.82
